Name,Latitude,Longitude
Scudellate,45.9218,9.04027
Müstair,46.6354,10.4585
Col du Grand St-Bernard,45.8691,7.17068
Monte Generoso,45.9276,9.01788
Campocologno,46.2378,10.1353
,46.2296,8.11762
Reschenpass$SValentino slla Mu,46.75,10.5333
Bologna,44.5333,11.2833
La Spezia,45.5167,9.11667
Sigonella Navy Air Base,37.4017,14.9224
Padova,45.4,11.85
Malpensa International Airport,45.6306,8.72811
Bari Karol Wojtyła Airport,41.1389,16.7606
Termoli,42.0,15.0
Monte Cimone,44.2,10.7
Vieste,41.8833,16.1667
Sciacca,37.5167,13.05
Passo Della Cisa,44.4333,9.93333
La Spezia - La Castellana,44.0667,9.81667
Gioia Del Colle Air Base,40.7678,16.9333
Monte Terminillo,42.4667,12.9833
Venice Marco Polo Airport,45.5053,12.3519
Rom$Roma,41.9,12.4833
Otranto,40.1,18.4833
Latina Air Base,41.5424,12.909
Matera,40.65,16.7
Caserta,41.0667,14.3167
Trevico,41.05,15.2333
Piacenza San Damiano Air Base,44.9131,9.72332
Verona Villafranca Airport,45.3957,10.8885
Treviso-Sant'Angelo Airport,45.6484,12.1944
Palermo Boccadifalco,38.1167,13.3167
Guidonia Air Base,41.9903,12.7408
Villanova D'Albenga International Airport,44.0506,8.12743
Bolzano Airport,46.4602,11.3264
Pantelleria Airport,36.8165,11.9689
Perdasdefogu,39.6667,9.43333
Rivolto Air Base,45.9787,13.0493
Turin Airport,45.2008,7.64963
Crotone Airport,38.9972,17.0802
Vipiteno,46.8833,11.4333
Latronico,40.0833,16.0167
Cozzo Spadaro,36.6833,15.1333
Torino / Bric Della Croce,45.0333,7.73333
Casale Monferrato,45.1333,8.45
Naples International Airport,40.886,14.2908
Neapel NapoliN,40.8833,14.3
Capo Frasca,39.75,8.46667
Marina di Ginosa Heliport,40.4241,16.8875
Pisa International Airport,43.6839,10.3927
Gela,37.0833,14.2167
Dobbiaco - Toblach,46.727,12.2307
Trieste–Friuli Venezia Giulia Airport,45.8275,13.4722
Serralta Di S. Vito,38.75,16.3667
Concordia Sagittaria,45.75,12.85
Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488
Macomer sa Crabarza,40.2667,8.76667
Fucino,41.9783,13.6053
Messina,38.2,15.55
Novi Ligure,44.7667,8.78333
Gibilmanna,37.9908,14.0269
Gela,37.0833,14.2167
Alghero-Fertilia Airport,40.6321,8.29077
Orte,42.4833,12.3333
Cameri Air Base [MIL],45.5296,8.66922
Frontone,43.5167,12.7333
Col du Grand St-Bernard,45.8691,7.17068
Abruzzo Airport,42.4317,14.1811
Passo Dei Giovi,44.6333,8.93333
Monte Limbara,40.85,9.16667
Grazzanise Air Base,41.0608,14.0819
Lecce Galatina Air Base,40.2392,18.1333
Milano/Linate,45.4667,9.26667
Monte Scuro,39.3333,16.4
Amendola Air Base,41.5414,15.7181
Falcone–Borsellino Airport,38.176,13.091
Paganella,46.15,11.0333
MONTE CALAMITA - ISOLA D'ELBA,42.7308,10.3955
Ustica,38.7,13.1833
Passo Rolle,46.3,11.7833
Tarvisio,46.5,13.5833
Parma,44.8167,10.2833
Centocelle Heliport,41.8729,12.5637
Mezzo Gregorio,36.9667,14.95
Palermo-Boccadifalco Airport,38.1108,13.3133
Gorizia,45.95,13.6167
Ancona,43.6167,13.5333
Monte Settepani,44.2333,8.2
Monte S.Angelo,41.7,15.95
Olbia Costa Smeralda Airport,40.8987,9.51763
Aosta,45.7333,7.35
Peretola Airport,43.81,11.2051
Cagliari Elmas Airport,39.2515,9.05428
Leonardo da Vinci–Fiumicino Airport,41.8003,12.2389
Trieste,45.65,13.75
Grosseto Air Base,42.7597,11.0719
Enna,37.5667,14.2833
Catanzaro,38.9,16.6
Cervia Air Base,44.2242,12.3072
Ferrara Airport,44.816,11.6134
Milano Linate Airport,45.4451,9.27674
Bologna Guglielmo Marconi Airport,44.5354,11.2887
Rieti Airport,42.4272,12.8517
Sarzana-Luni Air Base,44.088,9.98795
Mondovi,44.3833,7.81667
Aviano/USAF,46.0333,12.6
Milan Bergamo Airport,45.6739,9.70417
Desenzano,45.4667,10.55
Chiavari,44.3261,9.3472
Ferrara,44.8333,11.6167
Ciampino–G. B. Pastine International Airport,41.7994,12.5949
Bari,41.1205,16.8833
Torino Venaria,45.1167,7.61667
Frosinone,41.6333,13.3
Marche Airport,43.6163,13.3623
Federico Fellini International Airport,44.0203,12.6117
Bari Palese,41.1333,16.7667
Forlì Airport,44.1948,12.0701
S. Maria Di Leuca,39.8167,18.35
Lamezia Terme Airport,38.9054,16.2423
Lecce,40.2333,18.1333
Ghedi Air Base,45.4322,10.2677
Venice-Lido Airport,45.4283,12.3881
Viterbo Airport,42.4302,12.0642
Loreto,43.4333,13.5833
Catania-Fontanarossa Airport,37.4668,15.0664
Pratica Di Mare Air Base,41.6545,12.4452
Decimomannu Air Base,39.3542,8.97248
Latina,41.55,12.9
Campobasso,41.5667,14.65
Arezzo,43.4667,11.85
Martina Franca,40.6333,17.2167
Viterbo,42.4333,12.05
Radicofani,42.9,11.7667
Istrana Air Base,45.6849,12.0829
Monte Argentario,42.3867,11.1694
Potenza,40.6333,15.8
Isola Stromboli,38.8028,15.2341
Bonifati,39.5833,15.8833
Siracusa,37.0667,15.2833
Firenze,43.7833,11.2167
Reggio Calabria Airport,38.0712,15.6516
Prizzi,37.7167,13.4333
Volterra,43.4,10.8667
S. Giovanni Teatino,42.4167,14.2
Capo Bellavista,39.9307,9.7132
Aviano Air Base,46.0319,12.5965
Bousson Valle Di Susa,44.9339,6.82222
Brindisi Airport,40.6576,17.947
Vigna di Valle,42.0844,12.2183
Bousson Valle Di Susa,44.9339,6.82222
Guardiavecchia,41.2167,9.4
Reschenpass$SValentino slla Mu,46.75,10.5333
Lecce,40.2333,18.1333
Piacenza San Damiano Air Base,44.9131,9.72332
Volterra,43.4,10.8833
Teramo Colluran,42.65,13.75
Ancona,43.6167,13.5333
Guidonia,42.0,12.7333
Monte Scuro,39.3333,16.4
Bologna Guglielmo Marconi Airport,44.5354,11.2887
Venice-Lido Airport,45.4283,12.3881
Perdasdefogu,39.6667,9.45
Parma,44.8167,10.2833
Sarzana-Luni Air Base,44.088,9.98795
Loreto,43.4333,13.5833
Torino Venaria,45.1167,7.61667
Serralta Di S. Vito,38.75,16.3667
Paganella,46.15,11.0333
Novi Ligure,44.7667,8.78333
Bologna - San Pietro Capofiume,44.65,11.6167
Frontone,43.5167,12.7333
Tarvisio,46.5,13.5833
Firenze,43.7833,11.2167
Aviano/USAF,46.0333,12.6
Vigna Di Valle,42.0833,12.2167
Radicofani,42.9,11.7667
Salerno Costa d'Amalfi Airport,40.6204,14.9113
Marina di Ginosa Heliport,40.4241,16.8875
Guidonia Air Base,41.9903,12.7408
Punta Marina,44.4667,12.2833
Gela,37.0833,14.2167
Siracusa,37.0667,15.2833
Cervia Air Base,44.2242,12.3072
Monte Bisbino,45.8667,9.06667
Naples International Airport,40.886,14.2908
Alghero-Fertilia Airport,40.6321,8.29077
Bari Palese,41.1333,16.7667
Concordia Sagittaria,45.75,12.85
Vipiteno,46.8833,11.4333
Gorizia,45.95,13.6167
Cozzo Spadaro,36.6833,15.1333
Udine/Rivolto,45.9667,13.0333
S. Maria Di Leuca,39.8167,18.35
La Spezia - La Castellana,44.0667,9.81667
Lecce Galatina Air Base,40.2392,18.1333
Tarvisio,46.5,13.5833
Rom$Roma,41.9,12.4833
Grazzanise Air Base,41.0608,14.0819
Rifredo Mugello,44.05,11.3833
Matera,40.65,16.7
Termoli,42.0,15.0
Monte Scuro,39.3333,16.4
Latina,41.55,12.9
Laquila,42.3667,13.3167
Chiavari,44.3261,9.3472
Malpensa International Airport,45.6306,8.72811
Treviso-Sant'Angelo Airport,45.6484,12.1944
Abruzzo Airport,42.4317,14.1811
Monte Limbara,40.85,9.16667
Forlì Airport,44.1948,12.0701
Capo Bellavista,39.9307,9.7132
Casalecchio,44.5,11.3167
MONTE CALAMITA - ISOLA D'ELBA,42.7308,10.3955
Caserta,41.0667,14.3167
Bari Karol Wojtyła Airport,41.1389,16.7606
Cameri Air Base [MIL],45.5296,8.66922
Prizzi,37.7167,13.4333
Bologna,44.5333,11.2833
Sarzana,44.0833,9.98333
Gela,37.0833,14.2167
Casale Monferrato,45.1333,8.45
Frontone,43.5167,12.7167
Frosinone,41.6333,13.3
Passo Rolle,46.3,11.7833
Monte Terminillo,42.4667,12.9833
Latina Air Base,41.5424,12.909
Campobasso,41.5667,14.65
Verona,45.4667,10.9833
Desenzano,45.4667,10.55
Decimomannu Air Base,39.3542,8.97248
Centocelle Heliport,41.8729,12.5637
Bari,41.1205,16.8833
Milano/Linate,45.4667,9.26667
Gallarate,45.65,8.81667
Messina,38.2,15.55
Monte Cimone,44.2,10.7
Bonifati,39.5833,15.8833
Urbe Airport,41.9519,12.4989
Mondovi,44.3833,7.81667
Bonifati,39.5833,15.9
Ustica,38.7,13.1833
Perugia S. Egidio,43.1,12.5
Vieste,41.8833,16.1667
Catania-Fontanarossa Airport,37.4668,15.0664
Fucino,41.9783,13.6053
Ferrara,44.8333,11.6167
Peretola Airport,43.81,11.2051
Vigna di Valle,42.0844,12.2183
Falcone–Borsellino Airport,38.176,13.091
Govone,44.8,8.1
Istrana Air Base,45.6849,12.0829
Rivolto Air Base,45.9787,13.0493
Fonni,40.1167,9.25
Cuneo Levaldigi,44.5333,7.61667
Federico Fellini International Airport,44.0203,12.6117
Comiso,36.9833,14.6167
Reggio Calabria Airport,38.0712,15.6516
Prizzi,37.7167,13.4333
Enna,37.5667,14.2833
Trieste–Friuli Venezia Giulia Airport,45.8275,13.4722
Trevico,41.05,15.2333
Monte S.Angelo,41.7,15.95
Dobbiaco - Toblach,46.727,12.2307
Martina Franca,40.6333,17.2167
Passo Dei Giovi,44.6333,8.93333
S. Giovanni Teatino,42.4167,14.2
Viterbo Airport,42.4302,12.0642
Monte Settepani,44.2333,8.2
Perdasdefogu,39.6667,9.43333
Volterra,43.4,10.8667
Gibilmanna,37.9908,14.0269
Turin Airport,45.2008,7.64963
Grosseto Air Base,42.7597,11.0719
Isola d'Elba,42.7308,10.3955
Marche Airport,43.6163,13.3623
Villanova D'Albenga International Airport,44.0506,8.12743
Sigonella Navy Air Base,37.4017,14.9224
Aviano Air Base,46.0319,12.5965
Bolzano Airport,46.4602,11.3264
Amendola Air Base,41.5414,15.7181
Ustica,38.7,13.1833
Torino / Bric Della Croce,45.0333,7.73333
Monte Malanotte,44.25,7.8
Milan Bergamo Airport,45.6739,9.70417
Padova,45.4,11.85
Crotone Airport,38.9972,17.0802
Leonardo da Vinci–Fiumicino Airport,41.8003,12.2389
Crotone,39.0,17.0833
Pantelleria,36.8167,11.9667
Mezzo Gregorio,36.9667,14.95
Vicenza,45.5667,11.5167
Pratica Di Mare Air Base,41.6545,12.4452
Macomer sa Crabarza,40.2667,8.76667
Frosinone,41.6333,13.3
Col du Grand St-Bernard,45.8691,7.17068
Sciacca,37.5167,13.05
Verona Villafranca Airport,45.3957,10.8885
Pisa International Airport,43.6839,10.3927
Padova Airport,45.3958,11.8479
Passo Dei Giovi,44.55,8.93333
Aosta,45.7333,7.35
Trevico,41.05,15.2333
Lamezia Terme Airport,38.9054,16.2423
Potenza,40.6333,15.8
Otranto,40.1,18.4833
Monte Argentario,42.3867,11.1694
Palermo Boccadifalco,38.1167,13.3167
Perugia San Francesco d'Assisi – Umbria International Airport,43.0959,12.5132
Trieste,45.65,13.75
Passo Della Cisa,44.4333,9.93333
Rieti Airport,42.4272,12.8517
Capo Frasca,39.75,8.46667
Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488
Gioia Del Colle Air Base,40.7678,16.9333
Ferrara Airport,44.816,11.6134
Arezzo,43.4667,11.85
Olbia Costa Smeralda Airport,40.8987,9.51763
Catanzaro,38.9,16.6
GiovanniAllaVena,43.6833,10.5833
Pantelleria Airport,36.8165,11.9689
Brindisi Airport,40.6576,17.947
Palermo-Boccadifalco Airport,38.1108,13.3133
Cagliari Elmas Airport,39.2515,9.05428
Latronico,40.0833,16.0167
Latronico,40.0833,16.0167
Modena,44.65,10.95
Orte,42.4833,12.3333
Venice Marco Polo Airport,45.5053,12.3519
Fonni,40.1167,9.25
Viterbo,42.4333,12.05
Ghedi Air Base,45.4322,10.2677
Isola Stromboli,38.8028,15.2341
Ciampino–G. B. Pastine International Airport,41.7994,12.5949
Milano Linate Airport,45.4451,9.27674
Monte Bisbino,45.8667,9.06667
"Foggia ""Gino Lisa"" Airport",41.4329,15.535
Latina Air Base,41.5424,12.909
Grazzanise Air Base,41.0608,14.0819
Perugia San Francesco d'Assisi – Umbria International Airport,43.0959,12.5132
Bonifati,39.58,15.88
Frosinone,41.6333,13.3
Arezzo Airport,43.4559,11.847
Calopezzati,39.55,16.8
Passo Dei Giovi,44.6333,8.93333
Radicofani,42.9,11.77
Cozzo Spadaro,36.68,15.13
Turin Airport,45.2008,7.64963
Torino-Aeritalia Airport,45.0864,7.60337
Neapel NapoliN,40.88,14.3
Abruzzo Airport,42.4317,14.1811
Naples International Airport,40.886,14.2908
Bologna Guglielmo Marconi Airport,44.5354,11.2887
Rieti Airport,42.4272,12.8517
Ciampino–G. B. Pastine International Airport,41.7994,12.5949
Peretola Airport,43.81,11.2051
Potenza,40.63,15.8
S. Maria Di Leuca,39.8167,18.35
Aviano Air Base,46.0319,12.5965
Amendola Air Base,41.5414,15.7181
Reggio Calabria Airport,38.0712,15.6516
Ustica,38.7,13.18
Passo Rolle,46.3,11.7833
Lamezia Terme Airport,38.9054,16.2423
Piacenza San Damiano Air Base,44.9131,9.72332
Leonardo da Vinci–Fiumicino Airport,41.8003,12.2389
Torino / Bric Della Croce,45.0333,7.73333
Prizzi,37.72,13.43
Aviano/USAF,46.03,12.6
Sigonella Nas,37.4,14.933
Decimomannu Air Base,39.3542,8.97248
Fonni,40.12,9.25
Sigonella Navy Air Base,37.4017,14.9224
Falcone–Borsellino Airport,38.176,13.091
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",40.5175,17.4032
Villanova D'Albenga International Airport,44.0506,8.12743
Vicenza Airport,45.5734,11.5295
Monte Calamita - Isola d'Elba,42.7308,10.3955
Aosta Airport,45.7385,7.36872
Alghero-Fertilia Airport,40.6321,8.29077
Campobasso,41.57,14.65
Capo Frasca,39.75,8.47
Monte S.Angelo,41.7,15.95
Pratica Di Mare Air Base,41.6545,12.4452
Milan Bergamo Airport,45.6739,9.70417
Grosseto Air Base,42.7597,11.0719
Trieste,45.65,13.75
Cervia,44.2333,12.3
San Vito,40.6,18.0
Marche Airport,43.6163,13.3623
Perdasdefogu,39.67,9.43
Latronico,40.08,16.02
Parma Airport,44.8245,10.2964
Termoli,42.0,15.0
Monte Malanotte,44.25,7.8
Messina,38.2,15.55
Monte Scuro,39.3333,16.4
Treviso-Sant'Angelo Airport,45.6484,12.1944
Pantelleria Airport,36.8165,11.9689
Capo S.Lorenzo,39.5,9.63
Pisa International Airport,43.6839,10.3927
Brindisi Airport,40.6576,17.947
Dobbiaco - Toblach,46.727,12.2307
Passo Porretta,44.02,11.0
Marina di Ginosa Heliport,40.4241,16.8875
Cuneo International Airport,44.547,7.62322
Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488
Tarvisio,46.5,13.5833
Catania-Fontanarossa Airport,37.4668,15.0664
Resia Pass,46.8333,10.5
Paganella,46.15,11.0333
Volterra,43.4,10.87
Lecce Galatina Air Base,40.2392,18.1333
Brescia Airport,45.4289,10.3306
Federico Fellini International Airport,44.0203,12.6117
Trieste–Friuli Venezia Giulia Airport,45.8275,13.4722
Monte Argentario,42.3867,11.1694
Cagliari Elmas Airport,39.2515,9.05428
Salerno Costa d'Amalfi Airport,40.6204,14.9113
Ferrara Airport,44.816,11.6134
Forlì Airport,44.1948,12.0701
Palermo-Boccadifalco Airport,38.1108,13.3133
Gran Sasso Mtn Range,42.45,13.7
Guidonia Air Base,41.9903,12.7408
Capo Bellavista,39.9307,9.7132
Passo Della Cisa,44.4333,9.93333
Guardiavecchia,41.22,9.4
Istrana Air Base,45.6849,12.0829
Vigna di Valle,42.0844,12.2183
Enna,37.57,14.28
Cameri Air Base [MIL],45.5296,8.66922
Olbia Costa Smeralda Airport,40.8987,9.51763
Rivolto Air Base,45.9787,13.0493
Bolzano Airport,46.4602,11.3264
Crotone Airport,38.9972,17.0802
Milano Linate Airport,45.4451,9.27674
Monte Terminillo,42.4667,12.9833
Cervia Air Base,44.2242,12.3072
Ghedi Air Base,45.4322,10.2677
Trevico,41.05,15.2333
Urbe Airport,41.9519,12.4989
Viterbo Airport,42.4302,12.0642
Verona Villafranca Airport,45.3957,10.8885
Monte Bisbino,45.87,9.07
Monte Cimone,44.2,10.7
Sarzana-Luni Air Base,44.088,9.98795
Frontone,43.5167,12.7333
Malpensa International Airport,45.6306,8.72811
Venice Marco Polo Airport,45.5053,12.3519
Gela,37.0833,14.2167
Bari Karol Wojtyła Airport,41.1389,16.7606
Comiso Airport,36.9946,14.6072
Gioia Del Colle Air Base,40.7678,16.9333
Padova Airport,45.3958,11.8479
